User_Type,Weight_Profile,Model,k,HitRate,NDCG,unSerendipity,Train_Scenario,trainable
cold,None,e5,6,0.033112582781456956,0.015006546252896203,0.87584287,2,False
cold,None,e5,8,0.039735099337748346,0.01709571762233812,0.87533057,2,False
cold,None,e5,10,0.039735099337748346,0.01709571762233812,0.8749016,2,False
cold,None,e5,12,0.052980132450331126,0.02079032617400871,0.87455124,2,False
cold,None,e5,14,0.059602649006622516,0.02248541243102736,0.87431324,2,False
cold,None,e5,16,0.059602649006622516,0.02248541243102736,0.873923,2,False
cold,None,e5,18,0.06622516556291391,0.024044411857296482,0.87350684,2,False
cold,None,e5,20,0.0728476821192053,0.02557671790471211,0.87310207,2,False
cold,None,e5,30,0.07947019867549669,0.027021117189384505,0.87164044,2,False
cold,None,e5,50,0.13245033112582782,0.03690982887978946,0.8693603,2,False
cold,None,bge,2,0.006622516556291391,0.004178342738883825,0.71701413,2,False
cold,None,bge,4,0.013245033112582781,0.007030505375131461,0.7164293,2,False
cold,None,bge,6,0.019867549668874173,0.009592444495890015,0.7145522,2,False
cold,None,bge,8,0.046357615894039736,0.01818579827230143,0.7139192,2,False
cold,None,bge,10,0.059602649006622516,0.02201447146856485,0.71274036,2,False
cold,None,bge,12,0.07947019867549669,0.027441089048073256,0.7115914,2,False
cold,None,bge,14,0.08609271523178808,0.029180489942359306,0.7104485,2,False
cold,None,bge,16,0.08609271523178808,0.029180489942359306,0.70945334,2,False
cold,None,bge,18,0.09271523178807947,0.030768651972611832,0.7085437,2,False
cold,None,bge,20,0.09271523178807947,0.030768651972611832,0.70764756,2,False
cold,None,bge,30,0.11258278145695365,0.03490223705866545,0.70409054,2,False
cold,None,bge,50,0.1456953642384106,0.04113161390233971,0.6983489,2,False
cold,None,openai,2,0.013245033112582781,0.013245033112582781,0.6387421,2,False
cold,None,openai,4,0.026490066225165563,0.01940845402697611,0.63512975,2,False
cold,None,openai,6,0.033112582781456956,0.021970393147734666,0.6332156,2,False
