User_Type,Weight_Profile,Model,k,HitRate,NDCG,unSerendipity,Train_Scenario,trainable
warm,None,w2v,20,0.06431535269709543,0.018768461141600388,0.9048666,2,True
warm,None,w2v,30,0.07676348547717843,0.02136768556407469,0.9046766,2,True
warm,None,w2v,50,0.11618257261410789,0.028845325936361493,0.90422076,2,True
warm,None,bert,2,0.008298755186721992,0.006767343375815176,0.8874225,2,True
warm,None,bert,4,0.012448132780082987,0.008842032172495675,0.8873781,2,True
warm,None,bert,6,0.016597510373443983,0.010383650418019665,0.8873737,2,True
warm,None,bert,8,0.022821576763485476,0.012347124754860302,0.8871727,2,True
warm,None,bert,10,0.022821576763485476,0.012347124754860302,0.88702726,2,True
warm,None,bert,12,0.035269709543568464,0.015765264381904596,0.88697374,2,True
warm,None,bert,14,0.04771784232365145,0.018993112264769792,0.88694084,2,True
warm,None,bert,16,0.05394190871369295,0.020526931941608904,0.8868974,2,True
warm,None,bert,18,0.058091286307053944,0.021503732412009896,0.88675845,2,True
warm,None,bert,20,0.06431535269709543,0.02292076715493699,0.8866829,2,True
warm,None,bert,30,0.08298755186721991,0.026949979013190968,0.886292,2,True
warm,None,bert,50,0.13070539419087138,0.03581516821269498,0.8857583,2,True
warm,None,minilm,2,0.004149377593360996,0.003383671687907588,0.89003104,2,True
warm,None,minilm,4,0.01037344398340249,0.006351880314615872,0.89004767,2,True
warm,None,minilm,6,0.014522821576763486,0.007893498560139864,0.89005417,2,True
warm,None,minilm,8,0.022821576763485476,0.010622678802433907,0.89001805,2,True
warm,None,minilm,10,0.035269709543568464,0.0143202921536615,0.8898025,2,True
warm,None,minilm,12,0.03941908713692946,0.01544161229651345,0.8897473,2,True
warm,None,minilm,14,0.04149377593360996,0.015972645543006845,0.8897157,2,True
warm,None,minilm,16,0.04771784232365145,0.017517563680181588,0.8897144,2,True
warm,None,minilm,18,0.04979253112033195,0.018015099917874804,0.8897088,2,True
warm,None,minilm,20,0.056016597510373446,0.01943982753313137,0.88960934,2,True
warm,None,minilm,30,0.07468879668049792,0.02339054470395752,0.889234,2,True
warm,None,minilm,50,0.10580912863070539,0.029237617360752737,0.8887345,2,True
warm,None,e5,2,0.12240663900414937,0.10785822680053464,0.7193573,2,True
warm,None,e5,4,0.17842323651452283,0.13356533246272195,0.714503,2,True
warm,None,e5,6,0.2074688796680498,0.1444202403061337,0.7116095,2,True
warm,None,e5,8,0.22614107883817428,0.1503848062898822,0.71030056,2,True
warm,None,e5,10,0.24273858921161826,0.1552570347516693,0.7089827,2,True
warm,None,e5,12,0.25311203319502074,0.15807839484162867,0.70748264,2,True
warm,None,e5,14,0.27593360995850624,0.16404470576477048,0.7063123,2,True
warm,None,e5,16,0.2863070539419087,0.16661586983994986,0.7059995,2,True
warm,None,e5,18,0.2925311203319502,0.16810847855302954,0.7050431,2,True
warm,None,e5,20,0.2987551867219917,0.1695332061682861,0.7042361,2,True
warm,None,e5,30,0.36099585062240663,0.1827281963378192,0.70029664,2,True
warm,None,e5,50,0.42323651452282157,0.1944772877930726,0.69549024,2,True
