Model,Hidden_Dim,Layers,Heads,LR,Trainable,k,HitRate,NDCG,unSerendipity
qwen,256,3,1,1e-05,False,10,0.02843601895734597,0.01757088500928196,0.39298707
qwen,256,3,1,1e-05,False,20,0.036334913112164295,0.01957236108062315,0.40101445
word2vec,256,3,2,0.0001,True,10,0.07898894154818326,0.04317826389062527,0.73005134
word2vec,256,3,2,0.0001,True,20,0.11216429699842022,0.051512274820449726,0.73350704
word2vec,256,3,2,0.0001,False,10,0.01263823064770932,0.008039805579790588,0.7470831
word2vec,256,3,2,0.0001,False,20,0.017377567140600316,0.009253307250488207,0.7551367
bert_multi,256,3,2,0.0001,True,10,0.04265402843601896,0.02194526590546292,0.81852174
bert_multi,256,3,2,0.0001,True,20,0.05529225908372828,0.024975631573940265,0.81782866
bert_multi,256,3,2,0.0001,False,10,0.00315955766192733,0.0014702631249184726,0.732462
bert_multi,256,3,2,0.0001,False,20,0.004739336492890996,0.0018746201941282916,0.7340742
qwen,256,3,2,0.0001,True,10,0.02843601895734597,0.01904538268930808,0.839193
qwen,256,3,2,0.0001,True,20,0.053712480252764615,0.025402926497379522,0.8384701
qwen,256,3,2,0.0001,False,10,0.014218009478672985,0.01176365660403979,0.2862371
qwen,256,3,2,0.0001,False,20,0.01579778830963665,0.012135550621996564,0.28769296
word2vec,256,3,2,1e-05,True,10,0.05055292259083728,0.024239851145808622,0.87967974
word2vec,256,3,2,1e-05,True,20,0.07898894154818326,0.031302854290564654,0.8782689
word2vec,256,3,2,1e-05,False,10,0.01579778830963665,0.009790288833813918,0.55854505
word2vec,256,3,2,1e-05,False,20,0.018957345971563982,0.01052770925486668,0.5544018
bert_multi,256,3,2,1e-05,True,10,0.045813586097946286,0.02231353949873398,0.7512667
bert_multi,256,3,2,1e-05,True,20,0.05845181674565561,0.025448052185319477,0.7503258
bert_multi,256,3,2,1e-05,False,10,0.00631911532385466,0.0024285477878344635,0.83908665
bert_multi,256,3,2,1e-05,False,20,0.01579778830963665,0.004780206515221326,0.8412527
